OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,PhysActivity_Census_Tract_Estimate,PhysActivity_Estimate_Confidence_Interval,PhysActivity_Map_Symbol_withinHSR,PhysActivity_County_Regional_Estimate,PhysActivity_Map_Symbol_State,PhysActivity_State_Estimate
1084,8041000800,"Census Tract 8, El Paso County, Colorado",El Paso,2404,4,18.2,95% C.I.: 17.8 - 18.7,Fourth Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1085,8041000700,"Census Tract 7, El Paso County, Colorado",El Paso,2585,4,18.1,95% C.I.: 17.6 - 18.7,Middle Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1086,8041000600,"Census Tract 6, El Paso County, Colorado",El Paso,2544,4,18,95% C.I.: 17.6 - 18.5,Middle Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1087,8041000500,"Census Tract 5, El Paso County, Colorado",El Paso,1937,4,17,95% C.I.: 16.6 - 17.4,Lowest Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1088,8041000400,"Census Tract 4, El Paso County, Colorado",El Paso,1831,4,18.9,95% C.I.: 18.4 - 19.3,Fourth Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1089,8041007800,"Census Tract 78, El Paso County, Colorado",El Paso,4374,4,16.9,95% C.I.: 16.4 - 17.3,Lowest Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1090,8041000302,"Census Tract 3.02, El Paso County, Colorado",El Paso,4248,4,18.2,95% C.I.: 17.7 - 18.7,Fourth Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1091,8041007700,"Census Tract 77, El Paso County, Colorado",El Paso,4871,4,17.5,95% C.I.: 17 - 18,Second Quintile,County/Regional Estimate 17.9% (95% C.I.: 16.5 - 19.3),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1092,8005083500,"Census Tract 835, Arapahoe County, Colorado",Arapahoe,4471,15,19.6,95% C.I.: 19 - 20.2,Fourth Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1093,8005082800,"Census Tract 828, Arapahoe County, Colorado",Arapahoe,3859,15,18.7,95% C.I.: 18.1 - 19.3,Fourth Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1094,8005082400,"Census Tract 824, Arapahoe County, Colorado",Arapahoe,3299,15,19.7,95% C.I.: 19.1 - 20.3,Fourth Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Fourth Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1095,8005005630,"Census Tract 56.30, Arapahoe County, Colorado",Arapahoe,4485,15,16,95% C.I.: 15.6 - 16.4,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Second Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1096,8005005631,"Census Tract 56.31, Arapahoe County, Colorado",Arapahoe,2739,15,16.2,95% C.I.: 15.8 - 16.6,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1097,8005005628,"Census Tract 56.28, Arapahoe County, Colorado",Arapahoe,4653,15,16.3,95% C.I.: 16 - 16.7,Lowest Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
1098,8005005632,"Census Tract 56.32, Arapahoe County, Colorado",Arapahoe,2524,15,16.9,95% C.I.: 16.5 - 17.3,Second Quintile,County/Regional Estimate 19.1% (95% C.I.: 17.4 - 20.8),Middle Quintile,State Estimate 17.3% (95% C.I.: 16.9 - 17.8)
