OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,HeartDisease_Census_Tract_Estimate,HeartDisease_Estimate_Confidence_Interval,HeartDisease_Map_Symbol_withinHSR,HeartDisease_County_Regional_Estimate,HeartDisease_Map_Symbol_State,HeartDisease_State_Estimate
74,8067970600,"Census Tract 9706, La Plata County, Colorado",La Plata,7255,9,2.6,95% C.I.: 2.3 - 3.3,Middle Quintile,County/Regional Estimate 2.1% (95% C.I.: 1.1 - 3.1),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
75,8065961900,"Census Tract 9619, Lake County, Colorado",Lake,1659,13,1.3,95% C.I.: 1 - 5.9,Lowest Quintile,County/Regional Estimate 2.9% (95% C.I.: 0 - 7.7),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
76,8065961700,"Census Tract 9617, Lake County, Colorado",Lake,4485,13,1.9,95% C.I.: 1.4 - 8,Lowest Quintile,County/Regional Estimate 2.9% (95% C.I.: 0 - 7.7),Second Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
77,8029965100,"Census Tract 9651, Delta County, Colorado",Delta,3447,10,4.4,95% C.I.: 3.8 - 5.7,Fourth Quintile,County/Regional Estimate 4% (95% C.I.: 2.2 - 5.9),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
78,8029965200,"Census Tract 9652, Delta County, Colorado",Delta,3296,10,4.6,95% C.I.: 4 - 5.6,Highest Quintile,County/Regional Estimate 4% (95% C.I.: 2.2 - 5.9),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
79,8029964600,"Census Tract 9646, Delta County, Colorado",Delta,2892,10,4.5,95% C.I.: 3.9 - 5.3,Fourth Quintile,County/Regional Estimate 4% (95% C.I.: 2.2 - 5.9),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
80,8029965000,"Census Tract 9650, Delta County, Colorado",Delta,3690,10,3.5,95% C.I.: 3 - 4.6,Second Quintile,County/Regional Estimate 4% (95% C.I.: 2.2 - 5.9),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
81,8029964900,"Census Tract 9649, Delta County, Colorado",Delta,4176,10,4.7,95% C.I.: 4.1 - 5.8,Highest Quintile,County/Regional Estimate 4% (95% C.I.: 2.2 - 5.9),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
82,8029964800,"Census Tract 9648, Delta County, Colorado",Delta,3359,10,4.2,95% C.I.: 3.6 - 5.6,Middle Quintile,County/Regional Estimate 4% (95% C.I.: 2.2 - 5.9),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
83,8029964700,"Census Tract 9647, Delta County, Colorado",Delta,3201,10,4.4,95% C.I.: 3.8 - 5.4,Fourth Quintile,County/Regional Estimate 4% (95% C.I.: 2.2 - 5.9),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
84,8003960300,"Census Tract 9603, Alamosa County, Colorado",Alamosa,3872,8,1.5,95% C.I.: 1.2 - 7,Second Quintile,County/Regional Estimate 1.8% (95% C.I.: 0.4 - 3.2),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
85,8003960200,"Census Tract 9602, Alamosa County, Colorado",Alamosa,5184,8,0.9,95% C.I.: 0.6 - 4.1,Lowest Quintile,County/Regional Estimate 1.8% (95% C.I.: 0.4 - 3.2),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
86,8113968102,"Census Tract 9681.02, San Miguel County, Colorado",San Miguel,1598,10,3.4,95% C.I.: 2.4 - 7.1,Second Quintile,County/Regional Estimate 3.4% (95% C.I.: 0 - 7.5),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
87,8113968101,"Census Tract 9681.01, San Miguel County, Colorado",San Miguel,1534,10,2.8,95% C.I.: 1.9 - 6.2,Second Quintile,County/Regional Estimate 3.4% (95% C.I.: 0 - 7.5),Middle Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
88,8113968103,"Census Tract 9681.03, San Miguel County, Colorado",San Miguel,1700,10,4,95% C.I.: 3.1 - 6.4,Middle Quintile,County/Regional Estimate 3.4% (95% C.I.: 0 - 7.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
89,8113968200,"Census Tract 9682, San Miguel County, Colorado",San Miguel,1523,10,5.5,95% C.I.: 4.1 - 8.4,Highest Quintile,County/Regional Estimate 3.4% (95% C.I.: 0 - 7.5),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
90,8079973600,"Census Tract 9736, Mineral County, Colorado",Mineral,752,8,0.9,95% C.I.: 0.5 - 13.5,Lowest Quintile,County/Regional Estimate 3.1% (95% C.I.: 1.7 - 4.6),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
91,8083941100,"Census Tract 9411, Montezuma County, Colorado",Montezuma,968,9,1.2,95% C.I.: 0.8 - 4,Lowest Quintile,County/Regional Estimate 4.3% (95% C.I.: 2 - 6.6),Lowest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
92,8083969400,"Census Tract 9694, Montezuma County, Colorado",Montezuma,2982,9,3.1,95% C.I.: 2.7 - 6.1,Fourth Quintile,County/Regional Estimate 4.3% (95% C.I.: 2 - 6.6),Fourth Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
93,8083969100,"Census Tract 9691, Montezuma County, Colorado",Montezuma,2997,9,4.4,95% C.I.: 3.8 - 6.3,Highest Quintile,County/Regional Estimate 4.3% (95% C.I.: 2 - 6.6),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
94,8083969200,"Census Tract 9692, Montezuma County, Colorado",Montezuma,2306,9,5.1,95% C.I.: 4.5 - 6.6,Highest Quintile,County/Regional Estimate 4.3% (95% C.I.: 2 - 6.6),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
95,8083969000,"Census Tract 9690, Montezuma County, Colorado",Montezuma,2518,9,4.7,95% C.I.: 4.1 - 7.3,Highest Quintile,County/Regional Estimate 4.3% (95% C.I.: 2 - 6.6),Highest Quintile,State Estimate 2.9% (95% C.I.: 2.7 - 3.0)
