OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,NoCheckUp_Census_Tract_Estimate,NoCheckUp_Estimate_Confidence_Interval,NoCheckUp_Map_Symbol_withinHSR,NoCheckUp_County_Regional_Estimate,NoCheckUp_Map_Symbol_State,NoCheckUp_State_Estimate
955,8031000904,"Census Tract 9.04, Denver County, Colorado",Denver,3593,20,40.2,95% C.I.: 39.5 - 40.9,Highest Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
956,8031008305,"Census Tract 83.05, Denver County, Colorado",Denver,2949,20,39.7,95% C.I.: 39 - 40.5,Fourth Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
957,8031008304,"Census Tract 83.04, Denver County, Colorado",Denver,2505,20,39.2,95% C.I.: 38.5 - 40,Fourth Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
958,8031007006,"Census Tract 70.06, Denver County, Colorado",Denver,3887,20,41.9,95% C.I.: 41.3 - 42.5,Highest Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
959,8031004505,"Census Tract 45.05, Denver County, Colorado",Denver,2984,20,41.7,95% C.I.: 41.1 - 42.4,Highest Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
960,8031004504,"Census Tract 45.04, Denver County, Colorado",Denver,2861,20,39.9,95% C.I.: 39.2 - 40.7,Fourth Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
961,8031004503,"Census Tract 45.03, Denver County, Colorado",Denver,2638,20,41.8,95% C.I.: 41.1 - 42.5,Highest Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
962,8031004006,"Census Tract 40.06, Denver County, Colorado",Denver,3921,20,37.4,95% C.I.: 37 - 37.9,Second Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
963,8031003001,"Census Tract 30.01, Denver County, Colorado",Denver,4747,20,37.7,95% C.I.: 37.2 - 38.1,Second Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
964,8031001403,"Census Tract 14.03, Denver County, Colorado",Denver,2948,20,40.9,95% C.I.: 40.4 - 41.5,Highest Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
965,8031006813,"Census Tract 68.13, Denver County, Colorado",Denver,3644,20,34.8,95% C.I.: 34.2 - 35.4,Lowest Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
966,8031006814,"Census Tract 68.14, Denver County, Colorado",Denver,3659,20,37.1,95% C.I.: 36.5 - 37.7,Second Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
967,8031006811,"Census Tract 68.11, Denver County, Colorado",Denver,5364,20,35.7,95% C.I.: 35.1 - 36.2,Lowest Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
968,8031007037,"Census Tract 70.37, Denver County, Colorado",Denver,3238,20,38.3,95% C.I.: 37.6 - 39,Middle Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
969,8031007088,"Census Tract 70.88, Denver County, Colorado",Denver,4303,20,36.6,95% C.I.: 36 - 37.2,Second Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
970,8031007089,"Census Tract 70.89, Denver County, Colorado",Denver,4783,20,26.7,95% C.I.: 26.2 - 27.3,Lowest Quintile,County/Regional Estimate 39% (95% C.I.: 37 - 40.9),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
971,8005081800,"Census Tract 818, Arapahoe County, Colorado",Arapahoe,3886,15,37.1,95% C.I.: 36.3 - 37.9,Fourth Quintile,County/Regional Estimate 35.9% (95% C.I.: 33.9 - 37.9),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
972,8005007500,"Census Tract 75, Arapahoe County, Colorado",Arapahoe,1802,15,35.7,95% C.I.: 35 - 36.4,Middle Quintile,County/Regional Estimate 35.9% (95% C.I.: 33.9 - 37.9),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
973,8005082300,"Census Tract 823, Arapahoe County, Colorado",Arapahoe,2849,15,37.4,95% C.I.: 36.7 - 38.1,Highest Quintile,County/Regional Estimate 35.9% (95% C.I.: 33.9 - 37.9),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
974,8005081600,"Census Tract 816, Arapahoe County, Colorado",Arapahoe,3854,15,33.4,95% C.I.: 32.8 - 33.9,Lowest Quintile,County/Regional Estimate 35.9% (95% C.I.: 33.9 - 37.9),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
975,8005080700,"Census Tract 807, Arapahoe County, Colorado",Arapahoe,4271,15,34.7,95% C.I.: 34 - 35.4,Second Quintile,County/Regional Estimate 35.9% (95% C.I.: 33.9 - 37.9),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
976,8005006808,"Census Tract 68.08, Arapahoe County, Colorado",Arapahoe,4071,15,34.2,95% C.I.: 33.8 - 34.7,Second Quintile,County/Regional Estimate 35.9% (95% C.I.: 33.9 - 37.9),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
977,8005084600,"Census Tract 846, Arapahoe County, Colorado",Arapahoe,4166,15,36.7,95% C.I.: 36.1 - 37.3,Fourth Quintile,County/Regional Estimate 35.9% (95% C.I.: 33.9 - 37.9),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
978,8005006711,"Census Tract 67.11, Arapahoe County, Colorado",Arapahoe,3085,15,34.4,95% C.I.: 33.9 - 34.9,Second Quintile,County/Regional Estimate 35.9% (95% C.I.: 33.9 - 37.9),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
979,8005006815,"Census Tract 68.15, Arapahoe County, Colorado",Arapahoe,3424,15,36,95% C.I.: 35.4 - 36.5,Middle Quintile,County/Regional Estimate 35.9% (95% C.I.: 33.9 - 37.9),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
980,8005082600,"Census Tract 826, Arapahoe County, Colorado",Arapahoe,3776,15,35.9,95% C.I.: 35.1 - 36.7,Middle Quintile,County/Regional Estimate 35.9% (95% C.I.: 33.9 - 37.9),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
981,8005080200,"Census Tract 802, Arapahoe County, Colorado",Arapahoe,5087,15,34.3,95% C.I.: 33.7 - 35,Second Quintile,County/Regional Estimate 35.9% (95% C.I.: 33.9 - 37.9),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
982,8041003801,"Census Tract 38.01, El Paso County, Colorado",El Paso,1199,4,39.3,95% C.I.: 38.7 - 39.9,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
983,8041005111,"Census Tract 51.11, El Paso County, Colorado",El Paso,5344,4,38.6,95% C.I.: 38 - 39.2,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
984,8041007101,"Census Tract 71.01, El Paso County, Colorado",El Paso,5417,4,36.1,95% C.I.: 35.6 - 36.6,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
985,8041007201,"Census Tract 72.01, El Paso County, Colorado",El Paso,6585,4,34.9,95% C.I.: 34.4 - 35.4,Second Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
986,8041006901,"Census Tract 69.01, El Paso County, Colorado",El Paso,3640,4,36.7,95% C.I.: 36.2 - 37.1,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
987,8041006301,"Census Tract 63.01, El Paso County, Colorado",El Paso,3522,4,37.2,95% C.I.: 36.5 - 38,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
988,8041006302,"Census Tract 63.02, El Paso County, Colorado",El Paso,4190,4,40.9,95% C.I.: 40.2 - 41.7,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
989,8041005110,"Census Tract 51.10, El Paso County, Colorado",El Paso,3198,4,37.2,95% C.I.: 36.7 - 37.8,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
990,8041006801,"Census Tract 68.01, El Paso County, Colorado",El Paso,3138,4,37,95% C.I.: 36.5 - 37.4,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
991,8041006802,"Census Tract 68.02, El Paso County, Colorado",El Paso,2885,4,34.6,95% C.I.: 34.1 - 35.2,Second Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
992,8041004601,"Census Tract 46.01, El Paso County, Colorado",El Paso,3005,4,35.2,95% C.I.: 34.8 - 35.6,Second Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
993,8041004511,"Census Tract 45.11, El Paso County, Colorado",El Paso,5210,4,36.4,95% C.I.: 35.8 - 37,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
994,8041004602,"Census Tract 46.02, El Paso County, Colorado",El Paso,3019,4,33.8,95% C.I.: 33.4 - 34.3,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
995,8041007601,"Census Tract 76.01, El Paso County, Colorado",El Paso,5597,4,34.3,95% C.I.: 33.8 - 34.8,Second Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
996,8041007602,"Census Tract 76.02, El Paso County, Colorado",El Paso,2769,4,32.2,95% C.I.: 31.8 - 32.6,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
997,8041007202,"Census Tract 72.02, El Paso County, Colorado",El Paso,6683,4,33.3,95% C.I.: 32.8 - 33.8,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
998,8041003802,"Census Tract 38.02, El Paso County, Colorado",El Paso,4072,4,48.5,95% C.I.: 48 - 49.1,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
999,8041003307,"Census Tract 33.07, El Paso County, Colorado",El Paso,2702,4,37.2,95% C.I.: 36.7 - 37.8,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1000,8041003400,"Census Tract 34, El Paso County, Colorado",El Paso,3010,4,32.8,95% C.I.: 32.4 - 33.2,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1001,8041006700,"Census Tract 67, El Paso County, Colorado",El Paso,4885,4,32.9,95% C.I.: 32.5 - 33.3,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1002,8041003701,"Census Tract 37.01, El Paso County, Colorado",El Paso,6156,4,35.4,95% C.I.: 35 - 35.9,Middle Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1003,8041004100,"Census Tract 41, El Paso County, Colorado",El Paso,3650,4,36.1,95% C.I.: 35.5 - 36.6,Middle Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1004,8041004200,"Census Tract 42, El Paso County, Colorado",El Paso,3046,4,35.5,95% C.I.: 34.9 - 36.1,Middle Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1005,8041004508,"Census Tract 45.08, El Paso County, Colorado",El Paso,4819,4,35.9,95% C.I.: 35.3 - 36.5,Middle Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1006,8041004507,"Census Tract 45.07, El Paso County, Colorado",El Paso,2597,4,34.9,95% C.I.: 34.2 - 35.5,Second Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1007,8041004506,"Census Tract 45.06, El Paso County, Colorado",El Paso,3766,4,34.3,95% C.I.: 33.7 - 35,Second Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1008,8041004300,"Census Tract 43, El Paso County, Colorado",El Paso,5081,4,35.4,95% C.I.: 34.7 - 36,Middle Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1009,8041005000,"Census Tract 50, El Paso County, Colorado",El Paso,4095,4,37,95% C.I.: 36.4 - 37.6,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1010,8041006200,"Census Tract 62, El Paso County, Colorado",El Paso,3815,4,37.9,95% C.I.: 37.1 - 38.6,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1011,8041006100,"Census Tract 61, El Paso County, Colorado",El Paso,2833,4,39.6,95% C.I.: 38.9 - 40.3,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1012,8041006000,"Census Tract 60, El Paso County, Colorado",El Paso,5024,4,35.9,95% C.I.: 35.3 - 36.6,Middle Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1013,8041005900,"Census Tract 59, El Paso County, Colorado",El Paso,5583,4,34.9,95% C.I.: 34.4 - 35.5,Second Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1014,8041005800,"Census Tract 58, El Paso County, Colorado",El Paso,2408,4,31.8,95% C.I.: 31.4 - 32.3,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1015,8041005700,"Census Tract 57, El Paso County, Colorado",El Paso,4794,4,33.4,95% C.I.: 32.9 - 34,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1016,8041005602,"Census Tract 56.02, El Paso County, Colorado",El Paso,2553,4,35.7,95% C.I.: 35.1 - 36.3,Middle Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1017,8041004703,"Census Tract 47.03, El Paso County, Colorado",El Paso,4688,4,35.3,95% C.I.: 34.8 - 35.8,Second Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1018,8041004009,"Census Tract 40.09, El Paso County, Colorado",El Paso,1279,4,39,95% C.I.: 38.3 - 39.7,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1019,8041005202,"Census Tract 52.02, El Paso County, Colorado",El Paso,2105,4,35.3,95% C.I.: 34.7 - 36,Middle Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1020,8041003905,"Census Tract 39.05, El Paso County, Colorado",El Paso,2870,4,36.1,95% C.I.: 35.6 - 36.5,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1021,8041003706,"Census Tract 37.06, El Paso County, Colorado",El Paso,3452,4,33.9,95% C.I.: 33.5 - 34.4,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1022,8041003705,"Census Tract 37.05, El Paso County, Colorado",El Paso,4463,4,33.2,95% C.I.: 32.8 - 33.7,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1023,8041003000,"Census Tract 30, El Paso County, Colorado",El Paso,3727,4,35.6,95% C.I.: 35.1 - 36.1,Middle Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1024,8041003303,"Census Tract 33.03, El Paso County, Colorado",El Paso,4733,4,34.7,95% C.I.: 34.1 - 35.4,Second Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1025,8041004503,"Census Tract 45.03, El Paso County, Colorado",El Paso,9686,4,38.3,95% C.I.: 37.8 - 38.9,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1026,8041002900,"Census Tract 29, El Paso County, Colorado",El Paso,4121,4,35.2,95% C.I.: 34.6 - 36,Second Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1027,8041002000,"Census Tract 20, El Paso County, Colorado",El Paso,5135,4,36.7,95% C.I.: 36 - 37.3,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1028,8041004502,"Census Tract 45.02, El Paso County, Colorado",El Paso,4357,4,36.8,95% C.I.: 36.2 - 37.4,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1029,8041001900,"Census Tract 19, El Paso County, Colorado",El Paso,3580,4,34.7,95% C.I.: 34.1 - 35.4,Second Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1030,8041001800,"Census Tract 18, El Paso County, Colorado",El Paso,1683,4,35.7,95% C.I.: 35.2 - 36.1,Middle Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1031,8041001700,"Census Tract 17, El Paso County, Colorado",El Paso,1643,4,37.2,95% C.I.: 36.7 - 37.8,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1032,8041001600,"Census Tract 16, El Paso County, Colorado",El Paso,3363,4,43,95% C.I.: 42.5 - 43.5,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1033,8041001500,"Census Tract 15, El Paso County, Colorado",El Paso,1746,4,35.9,95% C.I.: 35.3 - 36.5,Middle Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1034,8041003906,"Census Tract 39.06, El Paso County, Colorado",El Paso,4905,4,34,95% C.I.: 33.6 - 34.5,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1035,8041001101,"Census Tract 11.01, El Paso County, Colorado",El Paso,1274,4,37.3,95% C.I.: 36.6 - 37.9,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1036,8041001000,"Census Tract 10, El Paso County, Colorado",El Paso,1912,4,33.8,95% C.I.: 33.3 - 34.2,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1037,8041000900,"Census Tract 9, El Paso County, Colorado",El Paso,1871,4,33.7,95% C.I.: 33.3 - 34.1,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1038,8041005109,"Census Tract 51.09, El Paso County, Colorado",El Paso,5637,4,34.8,95% C.I.: 34.2 - 35.4,Second Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1039,8041005105,"Census Tract 51.05, El Paso County, Colorado",El Paso,5267,4,38.3,95% C.I.: 37.8 - 38.9,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1040,8041005107,"Census Tract 51.07, El Paso County, Colorado",El Paso,6209,4,37.9,95% C.I.: 37.3 - 38.4,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1041,8041007102,"Census Tract 71.02, El Paso County, Colorado",El Paso,6479,4,35.6,95% C.I.: 35.1 - 36,Middle Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Second Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1042,8041004705,"Census Tract 47.05, El Paso County, Colorado",El Paso,5983,4,37.4,95% C.I.: 36.8 - 37.9,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1043,8041005106,"Census Tract 51.06, El Paso County, Colorado",El Paso,7151,4,37,95% C.I.: 36.5 - 37.5,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1044,8041004706,"Census Tract 47.06, El Paso County, Colorado",El Paso,3771,4,37,95% C.I.: 36.5 - 37.5,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1045,8041006902,"Census Tract 69.02, El Paso County, Colorado",El Paso,3611,4,37.5,95% C.I.: 37 - 38,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1046,8041004603,"Census Tract 46.03, El Paso County, Colorado",El Paso,4673,4,38.7,95% C.I.: 38.1 - 39.2,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1047,8041004510,"Census Tract 45.10, El Paso County, Colorado",El Paso,6546,4,39.4,95% C.I.: 38.8 - 40,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Fourth Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1048,8041005108,"Census Tract 51.08, El Paso County, Colorado",El Paso,6615,4,37.2,95% C.I.: 36.6 - 37.7,Fourth Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1049,8041003308,"Census Tract 33.08, El Paso County, Colorado",El Paso,4389,4,38.5,95% C.I.: 37.9 - 39.1,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Middle Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1050,8041003305,"Census Tract 33.05, El Paso County, Colorado",El Paso,5408,4,32.6,95% C.I.: 32.1 - 33.1,Lowest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Lowest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1051,8041004401,"Census Tract 44.01, El Paso County, Colorado",El Paso,4947,4,41.6,95% C.I.: 41 - 42.2,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1052,8041004403,"Census Tract 44.03, El Paso County, Colorado",El Paso,776,4,43.4,95% C.I.: 42.7 - 44.1,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
1053,8041004402,"Census Tract 44.02, El Paso County, Colorado",El Paso,5526,4,48.4,95% C.I.: 47.8 - 49.1,Highest Quintile,County/Regional Estimate 35.5% (95% C.I.: 33.7 - 37.3),Highest Quintile,State Estimate 37.4% (95% C.I.: 36.8 - 38.0)
